Date,Adj Close,Volume,2-days Net change,5day-moving average,5day- standard deviation,10-day moving average,10day- standard deviation,30-day moving average,30day- standard deviation,^VIX,^TNX
2005/1/3,1202.079956,1510800000,,,,,,,,14.08,4.22
2005/1/4,1188.050049,1721000000,-14.029907,,,,,,,13.98,4.283
2005/1/5,1183.73999,1738900000,-4.310059,,,,,,,14.09,4.277
2005/1/6,1187.890015,1569100000,4.150025,,,,,,,13.58,4.272
2005/1/7,1186.189941,1477900000,-1.700074,1189.58999,7.194501671,,,,,13.49,4.285
2005/1/10,1190.25,1490400000,4.060059,1187.223999,2.423335131,,,,,13.23,4.278
2005/1/11,1182.98999,1488800000,-7.26001,1186.211987,2.983866905,,,,,13.19,4.244
2005/1/12,1187.699951,1562100000,4.709961,1187.003979,2.67305325,,,,,12.56,4.236
2005/1/13,1177.449951,1510300000,-10.25,1184.915967,4.931436581,,,,,12.84,4.187
2005/1/14,1184.52002,1335400000,7.070069,1184.581982,4.87986431,1187.085986,6.368290153,,,12.43,4.216
2005/1/18,1195.97998,1596800000,11.45996,1185.727978,6.827768566,1186.475989,4.893977036,,,12.47,4.195
2005/1/19,1184.630005,1498700000,-11.349975,1186.055981,6.70158059,1186.133984,4.891255473,,,13.18,4.187
2005/1/20,1175.410034,1692000000,-9.219971,1183.597998,8.063341082,1185.300989,5.940936193,,,13.83,4.165
2005/1/21,1167.869995,1643500000,-7.540039,1181.682007,10.62175083,1183.298987,7.991028787,,,14.36,4.142
2005/1/24,1163.75,1494600000,-4.119995,1177.528003,13.02411384,1181.054993,9.989767202,,,14.65,4.122
2005/1/25,1168.410034,1610400000,4.660034,1172.014014,8.202921331,1178.870996,10.14236135,,,14.06,4.189
2005/1/26,1174.069946,1635900000,5.659912,1169.902002,4.793545746,1177.978992,10.13209803,,,13.44,4.192
2005/1/27,1174.550049,1600600000,0.480103,1169.730005,4.556049069,1176.664001,9.567905254,,,13.24,4.207
2005/1/28,1171.359985,1641800000,-3.190064,1170.428003,4.466305113,1176.055005,9.705149854,,,13.24,4.138
2005/1/31,1181.27002,1679800000,9.910035,1173.932007,4.778988409,1175.730005,9.441004269,,,12.82,4.133
2005/2/1,1189.410034,1681980000,8.140014,1178.132007,7.284093342,1175.07301,7.992762968,,,12.03,4.136
2005/2/2,1193.189941,1561740000,3.779907,1181.956006,9.345564,1175.929004,9.454676211,,,11.66,4.14
2005/2/3,1189.890015,1554460000,-3.299926,1185.023999,8.80902464,1177.377002,10.42535179,,,11.79,4.163
2005/2/4,1203.030029,1648160000,13.140014,1191.358008,7.863033142,1180.893005,12.57096946,,,11.21,4.073
2005/2/7,1201.719971,1347270000,-1.310058,1195.447998,6.50522569,1184.690002,12.55198727,,,11.73,4.052
2005/2/8,1202.300049,1416170000,0.580078,1198.026001,6.052580884,1188.079004,12.23925614,,,11.6,4.037
2005/2/9,1191.98999,1511040000,-10.310059,1197.786011,6.310564899,1189.871008,11.23053293,,,12,3.977
2005/2/10,1197.01001,1491670000,5.02002,1199.21001,4.674651837,1192.117004,10.00506758,,,11.51,4.073
2005/2/11,1205.300049,1562300000,8.290039,1199.664014,5.217157076,1195.511011,7.66419099,,,11.43,4.095
2005/2/14,1206.140015,1290180000,0.839966,1200.548023,5.972419643,1197.99801,6.471962247,1186.938,11.77931359,11.52,4.073
2005/2/15,1210.119995,1527080000,3.97998,1202.112012,7.399356958,1200.069006,6.727023327,1187.206002,12.21895918,11.27,4.098
2005/2/16,1210.339966,1490100000,0.219971,1205.782007,5.406050193,1201.784009,6.960478274,1187.948999,12.92910707,11.1,4.158
2005/2/17,1200.75,1580120000,-9.589966,1206.530005,3.952125149,1202.870007,5.615875081,1188.515999,13.10987739,11.77,4.185
2005/2/18,1201.589966,1551200000,0.839966,1205.787988,4.544651339,1202.726001,5.629762154,1188.972664,13.32417834,11.18,4.26
